Company Name,Social Links/LinkeIn,complaintsTotal,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/25/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/24/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/23/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/8/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/1/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,2/1/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/26/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/20/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/20/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/17/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/16/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/16/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/14/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/7/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,1/3/23,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/30/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/28/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/20/22,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/7/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/6/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/5/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,12/1/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/30/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/21/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/18/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/15/22,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/11/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/8/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/7/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/5/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/5/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/3/22,2,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/3/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/3/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/2/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,11/1/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/27/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/26/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/25/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/25/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/23/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/22/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/21/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/21/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/19/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/19/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/19/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,10/3/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,9/21/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,9/7/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/23/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/20/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/20/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/17/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/16/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/14/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/13/22,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,8/9/22,1,254,1159,258
