"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewRatingScore","reviewTitle","reviewUrl"
"MoneyLion","false","We saw your review and confirmed that one of our customer advocates are working to address this matter. Please review and respond to the email that was sent regarding your concern.","2024-01-24T23:30:24.000Z","BS COMPANY i paidnoff reserve loan they holding my money ,giving excuses,bs asking proofs,even i sent they still keep asking my name is jeasalyn borja , THIS COMPANY IS SCAM
UPDATE: the customer service reached out to me and gave Bs excuse,infact they know its me its my account!! BIGGEST SCAM THEY WANNA I DELETE REVIEW BUT NOPE!!!untill I receive my money period!!!!","1","BS COMPANY i paidnoff reserve loan they…","https://trustpilot.com/reviews/65b14b58805056da097cf903"
"MoneyLion","false","We're happy to hear it, Elizabeth! We love that you're loving Instacash. Thanks for the awesome review, and thanks for being the absolute best part of MoneyLion!","2023-07-06T18:54:40.000Z","they help me every time i need to get an advance every week and its quick and easy the money is there right away on your account with in a minute","5","they help me every time i need to get…","https://trustpilot.com/reviews/64a6f1d0ad8b85ddc95d4675"
"MoneyLion","false","Thank you for leaving this honest review, Armando. We'll be sure to forward it to our team for review. We are grateful to have you as a member of our community!","2023-03-19T00:40:25.000Z","Ease of use, although the 3 back to back tip requests for each transaction is annoying. I dont mind throwing in a little extra now and then but i dont want to be nagged like that.","4","Very useful app and service but to naggy","https://trustpilot.com/reviews/64163dd90306871b3554e103"
"MoneyLion","false","We are very sorry for your experience, Ethan, and really appreciate your feedback regarding our Credit Builder Plus loan. We'd love an opportunity to speak with you about your concerns! Please fill out this form: https://mlion.info/customerhelp, and a Customer Advocate will reach out to you, directly.","2023-03-13T20:00:36.000Z","I been a Moneylion customer since 2017. The initial plan was amazing. They invested a dollar everyday you signed into the app. And used it toward your membership fee.
Now the credit builder plus has a glitch. If you want to use it do not set your direct deposit up with the Roar Money account. The senior management said you have to have a external account for the credit builder loan.
So the Roar Money account that Moneylion offers is not good enough for the underwriters to give you the loan.
Direct Deposits take over 2 months to be recognized on your insta cash option also.
The investing portfolio is amazing and the shake and bank rewards do help keep your financial goals growing. I would recommend this as a secondary bank and not a primary since their own account is not good enough for their own credit builder","3","I been a Moneylion customer since 2017","https://trustpilot.com/reviews/640f64c4baead17ffa82f2ce"
"MoneyLion","false","We appreciate you taking the time to leave us a five-star rating and positive review, Nick! Thanks for being the best part of MoneyLion.","2023-03-18T01:37:16.000Z","this bank is legit. I learned from downloading the app, they have other financial services like RoarMoney checking accounts and Instant cash.","5","Legit and Happy","https://trustpilot.com/reviews/6414f9ac4ed5c76e204052c2"
"MoneyLion","false","We fully understand the concern and frustration an experience like this causes, Drupati. Please use this link; https://mlion.info/customerhelp to access our contact form by copy and pasting the link into an open browser window. Once the page loads, please complete and submit the form and one of our customer advocates will contact you directly to discuss this matter. Thanks.","2024-01-30T23:11:29.000Z","I've used moneylion for years, initially it was really great. As a banking app it's worked fine. Customer service was tip top. Now there is a bug with loan payments/instacash that gets stuck on past due if it's even 1 day late. It happened a few months ago where I contacted customer support multiple times just to resolve this and their ""higher ups"" never respond. It's a complete joke that they don't have an internal team to deal with this. I cannot use the Instacash feature and it's very frustrating when it does not update.","1","MoneyLion Used to be a good bank. Now it is a joke.","https://trustpilot.com/reviews/65b96601d499e546916382a0"
"MoneyLion","false","Thank you so much for your feedback. We apologize for any inconvenience you experienced with our Investment liquidation timeframe, and we really appreciate that you've referred friends/family to us. Thank you for being a member of our community, Gene!","2023-03-19T04:00:17.000Z","Pretty cool app. The only thing I didn't know was. I invested 250. Did a small withdrawal. Next day whent to do another small withdrawal and I had to wait to get to my money up to 7 days. That's the only I can say is a negative thing. Other then that its a cool app and you can get up to 75$ on a referral. I've got about 90$ in referral money. Also the shake. When you spend you get to shake your phone and they give you cents. It's free but alot of the times they 1c. I just tell myself. It's free, lol. Better then nothing ;). Overall I love the app.","5","Pretty cool app","https://trustpilot.com/reviews/64166cb190bb7e820830e968"
"MoneyLion","false","Thank you so much for this feedback, Tanika! We are so grateful to have you as a member of our community!","2023-03-30T18:25:53.000Z","Moneyloin is one company I feel comfortable and secure with. They are not hard to work with and it does benefit your credit!","5","MoneyLion Setting the bar","https://trustpilot.com/reviews/6425b8117adebf368ab853b4"
"MoneyLion","false","We love this, Angela! Thanks for this sweet review.","2023-03-23T06:55:05.000Z","Everything is great about my experience with the company.you can build your credit and have access to extra money if you need it.","5","Everything is great about my experience…highly recommend","https://trustpilot.com/reviews/641bdba9f6613f419760ed16"
"MoneyLion","false","Thank you so much for this awesome feedback, Joseph! We are happy to hear that you're enjoying our Instacash product, and appreciate you taking the time to leave this review!","2023-03-19T01:05:10.000Z","MoneyLion has always gone out of my way to save me between paychecks. They've managed to keep me above water in some serious zoom in and save me.","5","MoneyLion has always gone out of my way…","https://trustpilot.com/reviews/641643a62f8912bec345f8c2"
